_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
20078,NY,146,2017-01
20079,SC,147,2017-01
20080,TO,347,2017-01
20081,ET,104,2017-02
20082,NY,170,2017-02
20083,SC,139,2017-02
20084,TO,357,2017-02
20085,ET,183,2017-03
20086,NY,237,2017-03
20087,SC,223,2017-03
20088,TO,608,2017-03
20089,ET,173,2017-04
20090,NY,276,2017-04
20091,SC,222,2017-04
20092,TO,627,2017-04
20093,ET,234,2017-05
20094,NY,323,2017-05
20095,SC,323,2017-05
20096,TO,894,2017-05
20097,ET,250,2017-06
20098,NY,350,2017-06
20099,SC,346,2017-06
20100,TO,943,2017-06
20101,ET,287,2017-07
20102,NY,367,2017-07
20103,SC,320,2017-07
20104,TO,971,2017-07
20105,ET,324,2017-08
20106,NY,344,2017-08
20107,SC,312,2017-08
20108,TO,1066,2017-08
20109,ET,207,2017-09
20110,NY,268,2017-09
20111,SC,233,2017-09
20112,TO,729,2017-09
20113,ET,144,2017-10
20114,NY,219,2017-10
20115,SC,194,2017-10
20116,TO,552,2017-10
20117,ET,98,2017-11
20118,NY,185,2017-11
20119,SC,160,2017-11
20120,TO,393,2017-11
20121,ET,114,2017-12
20122,NY,156,2017-12
20123,SC,132,2017-12
20124,TO,385,2017-12
20125,ET,128,2018-01
20126,NY,156,2018-01
20127,SC,156,2018-01
20128,TO,375,2018-01
20129,ET,145,2018-02
20130,NY,182,2018-02
20131,SC,149,2018-02
20132,TO,344,2018-02
20133,ET,177,2018-03
20134,NY,235,2018-03
20135,SC,187,2018-03
20136,TO,538,2018-03
20137,ET,188,2018-04
20138,NY,238,2018-04
20139,SC,239,2018-04
20140,TO,657,2018-04
20141,ET,229,2018-05
20142,NY,337,2018-05
20143,SC,302,2018-05
20144,TO,880,2018-05
20145,ET,279,2018-06
20146,NY,337,2018-06
20147,SC,338,2018-06
20148,TO,964,2018-06
20149,ET,324,2018-07
20150,NY,408,2018-07
20151,SC,347,2018-07
20152,TO,1090,2018-07
20153,ET,365,2018-08
20154,NY,323,2018-08
20155,SC,392,2018-08
20156,TO,1117,2018-08
20157,ET,209,2018-09
20158,NY,256,2018-09
20159,SC,216,2018-09
20160,TO,719,2018-09
20161,ET,187,2018-10
20162,NY,227,2018-10
20163,SC,186,2018-10
20164,TO,582,2018-10
20165,ET,140,2018-11
20166,NY,199,2018-11
20167,SC,169,2018-11
20168,TO,397,2018-11
20169,ET,108,2018-12
20170,NY,157,2018-12
20171,SC,123,2018-12
20172,TO,329,2018-12
20173,ET,123,2019-01
20174,NY,162,2019-01
20175,SC,151,2019-01
20176,TO,341,2019-01
20177,ET,143,2019-02
20178,NY,190,2019-02
20179,SC,158,2019-02
20180,TO,382,2019-02
20181,ET,170,2019-03
